portfolio,model,var5,var1,cvar5,probability_drawdown_10pct
random_dirichlet_11,t_copula_train,-0.16466130835865397,-0.21653354224116797,-0.19945060844296186,0.5256410256410257
random_dirichlet_11,filtered_historical_simulation_train,-0.1623676132975321,-0.19234118645623494,-0.1871187703716931,0.4358974358974359
random_dirichlet_11,gaussian_factor_same_calibration_stack,-0.16779441040759138,-0.22762578308579978,-0.20870461378948282,0.3333333333333333
random_dirichlet_11,factor_ddpm_stress_uncalibrated,-0.23505186430083375,-0.3263420589503205,-0.3088767159469973,0.6410256410256411
random_dirichlet_11,factor_ddpm_base_uncalibrated,-0.19086857938410837,-0.2085900797982529,-0.20306188791031335,0.5512820512820513
random_dirichlet_12,factor_ddpm_stress,-0.2807004799377209,-0.3903378392975485,-0.37017688855560227,0.7307692307692307
random_dirichlet_12,factor_ddpm_base,-0.22897079750034363,-0.2483418906904436,-0.2446171345918912,0.6410256410256411
random_dirichlet_12,historical_bootstrap_train,-0.12237601765637324,-0.1633889930419589,-0.15891208404407642,0.38461538461538464
random_dirichlet_12,gaussian_cov_train,-0.13780565653041255,-0.17491186413636872,-0.16111415233844167,0.38461538461538464
random_dirichlet_12,t_copula_train,-0.15657082785400867,-0.2103712403673183,-0.19644733699166725,0.5256410256410257
random_dirichlet_12,filtered_historical_simulation_train,-0.16324334853448927,-0.19376985600585067,-0.18863476779104726,0.3974358974358974
random_dirichlet_12,gaussian_factor_same_calibration_stack,-0.1743623309445786,-0.21724698356413985,-0.20716519492566848,0.34615384615384615
random_dirichlet_12,factor_ddpm_stress_uncalibrated,-0.25411270341167835,-0.3679235833956074,-0.33769250693523123,0.6794871794871795
random_dirichlet_12,factor_ddpm_base_uncalibrated,-0.20532267692455594,-0.22260513138620525,-0.21841317290649134,0.5769230769230769
random_dirichlet_13,factor_ddpm_stress,-0.3039227720064702,-0.4036563601729711,-0.38947911158339243,0.7692307692307693
random_dirichlet_13,factor_ddpm_base,-0.24626517733341793,-0.26039817016064304,-0.2601010771232857,0.6923076923076923
random_dirichlet_13,historical_bootstrap_train,-0.12143907625657513,-0.16166867067163287,-0.15827899549952767,0.3717948717948718
random_dirichlet_13,gaussian_cov_train,-0.1365026638468254,-0.17652026182838967,-0.1612311991972441,0.3974358974358974
random_dirichlet_13,t_copula_train,-0.16024518206991786,-0.2126654759414251,-0.19491547794216296,0.5512820512820513
random_dirichlet_13,filtered_historical_simulation_train,-0.1627886310812161,-0.19183984074108018,-0.18629645013163848,0.41025641025641024
random_dirichlet_13,gaussian_factor_same_calibration_stack,-0.16977075153709914,-0.22478596883753516,-0.2088208110505136,0.3717948717948718
random_dirichlet_13,factor_ddpm_stress_uncalibrated,-0.27116987658615155,-0.38054352268546654,-0.35545049928209693,0.7435897435897436
random_dirichlet_13,factor_ddpm_base_uncalibrated,-0.21552068939268074,-0.234804133170327,-0.23458400302379134,0.6282051282051282
random_dirichlet_14,factor_ddpm_stress,-0.254668044998091,-0.36232042042229684,-0.34547285812094086,0.717948717948718
random_dirichlet_14,factor_ddpm_base,-0.2080173731338603,-0.23057249499384372,-0.22780949880477397,0.6282051282051282
random_dirichlet_14,historical_bootstrap_train,-0.11786599457903757,-0.1623306755940556,-0.15661666797809348,0.3717948717948718
random_dirichlet_14,gaussian_cov_train,-0.13541995444917057,-0.1789063885370515,-0.16264642657261766,0.358974358974359
random_dirichlet_14,t_copula_train,-0.1594230613015596,-0.20975799718920807,-0.19438323897206983,0.5512820512820513
random_dirichlet_14,filtered_historical_simulation_train,-0.1579685357556451,-0.19132828534327753,-0.18319442641069197,0.4358974358974359
random_dirichlet_14,gaussian_factor_same_calibration_stack,-0.17008182386219686,-0.22366554070209813,-0.20791293188455848,0.3333333333333333
random_dirichlet_14,factor_ddpm_stress_uncalibrated,-0.22640949329429821,-0.31711646705486707,-0.30766746198193956,0.6282051282051282
random_dirichlet_14,factor_ddpm_base_uncalibrated,-0.18405354623349393,-0.2029493467189347,-0.19933840475379275,0.5256410256410257
random_dirichlet_15,factor_ddpm_stress,-0.26882987361844,-0.3668983485722904,-0.3468108804036414,0.7051282051282052
random_dirichlet_15,factor_ddpm_base,-0.21672426803653233,-0.23043592760074436,-0.22719052788168495,0.6282051282051282
random_dirichlet_15,historical_bootstrap_train,-0.12194178527587689,-0.1661097110059007,-0.1626709319368581,0.3717948717948718
random_dirichlet_15,gaussian_cov_train,-0.1402972088947789,-0.17920754139454412,-0.16363776148745388,0.38461538461538464
random_dirichlet_15,t_copula_train,-0.16222987754924306,-0.21274170263159065,-0.19836479075805283,0.5256410256410257
random_dirichlet_15,filtered_historical_simulation_train,-0.1685345075563007,-0.19631731675506353,-0.19061244053050674,0.4230769230769231
random_dirichlet_15,gaussian_factor_same_calibration_stack,-0.17278985486671058,-0.22718994756256838,-0.2109882411451015,0.358974358974359
random_dirichlet_15,factor_ddpm_stress_uncalibrated,-0.24692581966938576,-0.32716218183866014,-0.3101289551194357,0.6666666666666666
random_dirichlet_15,factor_ddpm_base_uncalibrated,-0.19203852598072457,-0.20120430685337448,-0.19942138185818342,0.5384615384615384
random_dirichlet_16,factor_ddpm_stress,-0.2765577034063458,-0.3742541167351999,-0.34385559408330024,0.717948717948718
